modelo_A,modelo_B,PR_AUC_A,PR_AUC_B,diferencia_media,IC95_inferior,IC95_superior,P_gana_A,significativa
Logística operativa,XGBoost operativo,0.4209,0.3875,0.0332,0.0182,0.0483,1.0,Sí
Logística completa,XGBoost completo,0.4543,0.4451,0.0094,-0.0035,0.0232,0.9145,No (el IC cruza cero)
